Date;test
2002-06-12;0.0
2002-06-13;-30.0
2002-06-14;-20.0
2002-06-15;-20.0
2002-06-16;-20.0
2002-06-17;-20.0
2002-06-18;-30.0
2002-06-19;-30.0
2002-06-20;-20.0
2002-06-21;-20.0
2002-06-22;-20.0
2002-06-23;-20.0
2002-06-24;-30.0
2002-06-25;-30.0
2002-06-26;-20.0
2002-06-27;-30.0
2002-06-28;-50.0
2002-06-29;0.0
2002-06-30;0.0
2002-07-01;0.0
2002-07-02;0.0
2002-07-03;0.0
2002-07-04;0.0
2002-07-05;0.0
2002-07-06;0.0
2002-07-07;0.0
2002-07-08;0.0
2002-07-09;0.0
2002-07-10;0.0
2002-07-11;0.0
2002-07-12;0.0
2002-07-13;0.0
2002-07-14;0.0
2002-07-15;0.0
2002-07-16;0.0
2002-07-17;0.0
2002-07-18;0.0
2002-07-19;0.0
2002-07-20;0.0
2002-07-21;0.0
2002-07-22;0.0
2002-07-23;0.0
2002-07-24;0.0
2002-07-25;0.0
2002-07-26;0.0
2002-07-27;0.0
2002-07-28;0.0
2002-07-29;0.0
2002-07-30;0.0
2002-07-31;0.0
2002-08-01;0.0
2002-08-02;0.0
2002-08-03;0.0
2002-08-04;0.0
2002-08-05;0.0
2002-08-06;0.0
2002-08-07;0.0
2002-08-08;0.0
2002-08-09;0.0
2002-08-10;60.0
2002-08-11;40.0
2002-08-12;-20.0
2002-08-13;-40.0
2002-08-14;-30.0
2002-08-15;-10.0
2002-08-16;0.0
2002-08-17;0.0
2002-08-18;0.0
2002-08-19;0.0
2002-08-20;-10.0
2002-08-21;0.0
2002-08-22;0.0
2002-08-23;10.0
2002-08-24;0.0
2002-08-25;0.0
2002-08-26;0.0
2002-08-27;0.0
2002-08-28;0.0
2002-08-29;0.0
2002-08-30;0.0
2002-08-31;0.0
2002-09-01;0.0
2002-09-02;0.0
2002-09-03;0.0
2002-09-04;0.0
2002-09-05;0.0
2002-09-06;0.0
2002-09-07;0.0
2002-09-08;0.0
2002-09-09;0.0
2002-09-10;0.0
2002-09-11;0.0
2002-09-12;0.0
2002-09-13;0.0
2002-09-14;0.0
2002-09-15;0.0
2002-09-16;0.0
2002-09-17;0.0
2002-09-18;0.0
2002-09-19;0.0
2002-09-20;0.0
